"","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"648",648,1,1,"Simonius-Blumer, Col. Oberst Alfons","male",56,0,0,"13213",35.5,"A26","C"
"193",193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine","female",19,1,0,"350046",7.8542,"","S"
"779",779,0,3,"Kilgannon, Mr. Thomas J","male",NA,0,0,"36865",7.7375,"","Q"
"107",107,1,3,"Salkjelsvik, Miss. Anna Kristine","female",21,0,0,"343120",7.65,"","S"
"679",679,0,3,"Goodwin, Mrs. Frederick (Augusta Tyler)","female",43,1,6,"CA 2144",46.9,"","S"
"3",3,1,3,"Heikkinen, Miss. Laina","female",26,0,0,"STON/O2. 3101282",7.925,"","S"
"242",242,1,3,"Murphy, Miss. Katherine ""Kate""","female",NA,1,0,"367230",15.5,"","Q"
"129",129,1,3,"Peter, Miss. Anna","female",NA,1,1,"2668",22.3583,"F E69","C"
"746",746,0,1,"Crosby, Capt. Edward Gifford","male",70,1,1,"WE/P 5735",71,"B22","S"
"674",674,1,2,"Wilhelms, Mr. Charles","male",31,0,0,"244270",13,"","S"
"486",486,0,3,"Lefebre, Miss. Jeannie","female",NA,3,1,"4133",25.4667,"","S"
"775",775,1,2,"Hocking, Mrs. Elizabeth (Eliza Needs)","female",54,1,3,"29105",23,"","S"
"171",171,0,1,"Van der hoef, Mr. Wyckoff","male",61,0,0,"111240",33.5,"B19","S"
"887",887,0,2,"Montvila, Rev. Juozas","male",27,0,0,"211536",13,"","S"
"97",97,0,1,"Goldschmidt, Mr. George B","male",71,0,0,"PC 17754",34.6542,"A5","C"
"310",310,1,1,"Francatelli, Miss. Laura Mabel","female",30,0,0,"PC 17485",56.9292,"E36","C"
"377",377,1,3,"Landergren, Miss. Aurora Adelia","female",22,0,0,"C 7077",7.25,"","S"
"531",531,1,2,"Quick, Miss. Phyllis May","female",2,1,1,"26360",26,"","S"
"847",847,0,3,"Sage, Mr. Douglas Bullen","male",NA,8,2,"CA. 2343",69.55,"","S"
"404",404,0,3,"Hakkarainen, Mr. Pekka Pietari","male",28,1,0,"STON/O2. 3101279",15.85,"","S"
"318",318,0,2,"Moraweck, Dr. Ernest","male",54,0,0,"29011",14,"","S"
"156",156,0,1,"Williams, Mr. Charles Duane","male",51,0,1,"PC 17597",61.3792,"","C"
